NodeIndex,MeanLogU_0.1,MeanLogU_0.3,MeanLogU_0.5,MeanLogU_0.7,MeanLogU_0.9
180,-0.27489388243983187,-1.1315747287865041,-2.736885446576495,-5.320646664595366,-9.023429235840732
181,-0.005619907882984165,-0.8316328463583883,-2.525743058965682,-5.433897228015089,-9.15913900918532
182,-0.08447969293390434,-1.0046280828757894,-2.7112650761891812,-5.351415946789657,-9.000282375876878
183,-0.0916200279107061,-0.9051828082570081,-2.8684354151241314,-5.542542476771814,-9.041351921537485
184,-0.25463047011539613,-1.0725060600661878,-2.749486571846398,-5.414926329622046,-9.329902634647953
185,-0.1004606082913292,-1.159513104043151,-2.7971839460901173,-5.427739971577569,-9.380426622715342
186,-0.18614320387758013,-0.7599450147876363,-2.823988959180657,-5.583337648311787,-9.18174442022377
187,-0.17567114651366048,-0.8345730010834179,-2.7740342894488914,-5.564698211041354,-9.392952108086186
188,-0.141189927486984,-0.7834423213628476,-3.0465311228664436,-5.6307213665891425,-9.391758129478864
189,0.09577821175188272,-0.8834715021970603,-2.811503623761796,-5.610171500341411,-9.663951275994116
190,-0.33402086915081,-1.0964567533940768,-2.9497210281213406,-5.632361031405425,-9.375313212579643
191,-0.20797515686034787,-0.7467507381647405,-2.8119553062489,-5.703952827877891,-9.369468813971357
192,-0.37253188438219265,-1.2401562216525523,-2.8229601157725086,-5.782401937507454,-9.568311771070627
193,-0.1321977968161111,-0.9778697184786116,-3.163512486267829,-5.7074995418721315,-9.747156385849
194,-0.17217964475256647,-1.0353836297681502,-2.861045289810305,-5.773768632888241,-9.535323595392407
195,0.022547042584041443,-1.04438690078794,-2.8608139861829067,-5.611723388043965,-9.735360272422236
196,-0.13829505073107945,-1.2087395299390178,-2.916696243717996,-5.9877008580298625,-9.824242749829207
197,-0.34431805594868,-1.131686111463163,-3.031063175452231,-5.71536509563776,-9.647600414236273
198,-0.32267574375534025,-1.0302087572784124,-2.84563482490493,-5.898083938714053,-9.991566221882891
199,-0.020393711726282432,-0.8531068677464145,-2.8999728905281206,-5.88947050088735,-9.885352264889105
